Spatial_contribution,Score,Rel_Score,Year,Producing_country,Method_name,Midpoint,Midpoint_abb,Unit
UA,3.490775064803595e-11,3.159356007717349e-08,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
SK,1.675147972962728e-12,1.5161070862333281e-09,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
US,1.1065251953920165e-06,0.0010014701488504747,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
VN,0.0,0.0,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
KZ,2.9681061539478407e-09,2.6863100128009975e-06,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
RO,1.049272549597697e-08,9.496531491612742e-06,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
ID,0.0,0.0,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
CN,2.0991237802767594e-06,0.0018998300386143241,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
IT,3.387272799836507e-07,0.0003065680392254994,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
AU,9.471310037739867e-05,0.08572090642675279,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
AZ,6.09976846575684e-13,5.520647933543664e-10,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
SI,1.4692619929729255e-09,1.3297682085599955e-06,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
FR,6.804898413547815e-08,6.158831859868971e-05,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
VE,9.469561667383904e-09,8.57050826504129e-06,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
RU,1.0492964373793023e-10,9.496747690035513e-08,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
GB,3.985494508761801e-09,3.6071060971353526e-06,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
GLO,0.0,0.0,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
DE,7.649562677902837e-07,0.0006923302519981337,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
HU,7.646689628731122e-08,6.920702242108195e-05,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
GR,3.323173122251129e-08,3.0076664275300847e-05,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
JM,3.571466806250627e-07,0.00032323867626016375,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
JP,5.733304338590091e-08,5.1889764221217996e-05,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
TR,1.2354919513171374e-10,1.1181926209558988e-07,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
AR,0.0006962647242416132,0.7119963421330546,2000,AR,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq
ME,0.0,0.0,2000,AR,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq
ES,9.375063408152692e-08,9.586886454919475e-05,2000,AR,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq
IR,0.0,0.0,2000,AR,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq
CA,5.308982906185038e-10,5.428935687884941e-07,2000,AR,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq
BR,0.000252747257893103,0.25845790665333535,2000,AR,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq
SA,0.0,0.0,2000,AR,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq
SR,4.019084031728612e-08,4.109892444189284e-05,2000,AR,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq
IN,7.585564880814214e-09,7.756955451154665e-06,2000,AR,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq
GN,8.451482488240348e-10,8.642437865544611e-07,2000,AR,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq
BA,5.628459969731063e-10,5.755631113806369e-07,2000,AR,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq
IE,5.624915205998123e-08,5.752006258598705e-05,2000,AR,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq
UA,1.2484868310612953e-11,1.2766955239404957e-08,2000,AR,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq
SK,5.995937999985029e-13,6.131412054942042e-10,2000,AR,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq
US,2.5080548029723865e-07,0.0002564722559412485,2000,AR,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq
VN,0.0,0.0,2000,AR,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq
KZ,1.1215171694049698e-09,1.146857070958919e-06,2000,AR,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq
RO,3.752759012310522e-09,3.8375499959190006e-06,2000,AR,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq
ID,0.0,0.0,2000,AR,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq
CN,9.497171839653195e-07,0.0009711753841625962,2000,AR,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq
IT,1.211497708178985e-07,0.00012388706575154433,2000,AR,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq
AU,2.688270730024629e-05,0.027490103401773016,2000,AR,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq
AZ,2.3048350377383776e-13,2.3569111847182493e-10,2000,AR,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq
SI,5.255725761553705e-10,5.374475235057516e-07,2000,AR,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq
FR,2.4339216252130153e-08,2.4889143939868076e-05,2000,AR,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq
VE,3.1794441601224168e-09,3.2512814928103555e-06,2000,AR,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq
RU,3.752857171808974e-11,3.8376503732631483e-08,2000,AR,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq
GB,1.4254245472267997e-09,1.4576310249202917e-06,2000,AR,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq
GLO,0.0,0.0,2000,AR,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq
DE,2.7360075012986824e-07,0.0002797825690645314,2000,AR,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq
HU,2.73486455953247e-08,2.796656924903662e-05,2000,AR,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq
GR,1.1885409465365018e-08,1.2153952037870185e-05,2000,AR,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq
JM,1.199133954237949e-07,0.00012262275531406825,2000,AR,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq
JP,2.1663651119165233e-08,2.2153126270892064e-05,2000,AR,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq
TR,4.6685318003759227e-11,4.774014034130553e-08,2000,AR,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq
AR,1.782411458295338e-07,0.2850309592566181,2000,AR,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.
ME,0.0,0.0,2000,AR,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.
ES,1.2457440235439557e-10,0.00019921080083187966,2000,AR,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.
IR,0.0,0.0,2000,AR,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.
CA,7.334752755420476e-13,1.1729231228052465e-06,2000,AR,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.
BR,4.222514995407755e-07,0.6752355041341437,2000,AR,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.
SA,0.0,0.0,2000,AR,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.
SR,6.714471643038615e-11,0.00010737320411679846,2000,AR,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.
IN,3.8505415049751876e-12,6.157520665122681e-06,2000,AR,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.
GN,4.95954862723643e-13,7.930968442342742e-07,2000,AR,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.
BA,7.479024806680073e-13,1.1959941151808068e-06,2000,AR,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.
IE,7.474314466278358e-11,0.00011952408699989058,2000,AR,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.
UA,1.658929622421516e-14,2.6528459487701264e-08,2000,AR,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.
SK,7.966754568759837e-16,1.2739884981817728e-09,2000,AR,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.
US,2.7024597586498657e-10,0.0004321587441415264,2000,AR,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.
VN,0.0,0.0,2000,AR,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.
KZ,6.581352966866659e-13,1.0524446196875642e-06,2000,AR,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.
RO,4.98661636812818e-12,7.974253308557996e-06,2000,AR,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.
ID,0.0,0.0,2000,AR,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.
CN,1.786999845506753e-10,0.000285764702524607,2000,AR,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.
IT,1.6098186950818685e-10,0.00025743111376048673,2000,AR,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.
AU,2.3290035561494488e-08,0.037243820142192845,2000,AR,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.
AZ,1.3525368434860383e-16,2.1628837277417553e-10,2000,AR,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.
SI,6.983634965662947e-13,1.1167747851355784e-06,2000,AR,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.
FR,3.2341446021553324e-11,5.1718212090521945e-05,2000,AR,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.
VE,5.311729520209037e-12,8.494151860451142e-06,2000,AR,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.
RU,4.986745256756311e-14,7.974459418371433e-08,2000,AR,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.
GB,1.8940853300518737e-12,3.028890753737059e-06,2000,AR,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.
GLO,0.0,0.0,2000,AR,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.
DE,3.6355528622495385e-10,0.0005813725640802228,2000,AR,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.
HU,3.634051627820848e-11,5.811324970141773e-05,2000,AR,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.
GR,1.5793178228644574e-11,2.5255362443228938e-05,2000,AR,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.
JM,2.0033298247231653e-10,0.00032035870224619167,2000,AR,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.
JP,1.2711423877575273e-11,2.032723322373537e-05,2000,AR,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.
TR,2.7395764001071817e-14,4.3809418170266096e-08,2000,AR,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.
AR,0.010249726306795192,0.6087743176655113,2000,AR,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.
ME,0.0,0.0,2000,AR,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.
ES,1.92846025689258e-06,0.00011453935860282632,2000,AR,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.
IR,0.0,0.0,2000,AR,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.
CA,9.282291353329246e-09,5.513142903385821e-07,2000,AR,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.
BR,0.0060399806581866505,0.35873983302976176,2000,AR,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.
