Database,Code,Name,Location,Unit,Amount_fu,Method_name,Midpoint,Midpoint_abb,Midpoint_unit,Score,Year,Consumption_model
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,CA,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.014169440414046768,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,CA,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.034134485550054744,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,RU,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,14.330895489132594,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,RU,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.009849423906613699,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,RU,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.0036872139448417994,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,RU,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,1.1095093077923357e-06,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,RU,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.03935808558903348,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,RU,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.09127970187226289,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,FR,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,11.63199907662799,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,FR,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.0084233562499581,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,FR,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.0030138682428683824,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,FR,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,9.927773505336507e-07,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,FR,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.02998852788157334,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,FR,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.06483888736715354,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,ID,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,22.699629063571933,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,ID,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.01574462491532417,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,ID,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.005334847107716464,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,ID,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,5.084615114080388e-07,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,ID,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.05536491525912547,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,ID,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.09932733415975828,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,ES,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,11.316642492775967,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,ES,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.008627588565822263,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,ES,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.002961862286007375,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,ES,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,1.0849784556731704e-06,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,ES,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.026759724319145427,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,ES,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.05766338570258937,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,BH,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,14.795969778921265,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,BH,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.001407028813425657,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,BH,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.0012444620718912239,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,BH,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,8.228193690645489e-07,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,BH,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.023720867369733303,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,BH,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.03744919170903684,2000,kastner
