Year,Mineral,Producer_region,Consumer_region,type,value
2000,aluminium,North America,Europe,Embodied,0.006507895382395487
2000,aluminium,North America,GCC,Embodied,2.4764480632841453e-06
2000,aluminium,North America,North America,Domestic,0.1724010539557722
2000,aluminium,North America,North America,Embodied,0.053132380620282756
2000,aluminium,North America,Oceania,Embodied,7.742287572322217e-06
2000,aluminium,North America,Rest of Asia,Embodied,0.010881943060045729
2000,aluminium,North America,South America,Embodied,0.004827842579885463
2000,aluminium,Oceania,Africa,Embodied,2.9985605237423266e-06
2000,aluminium,Oceania,China,Embodied,0.0058751370857253295
2000,aluminium,Oceania,Europe,Embodied,0.00017170451643280744
2000,aluminium,Oceania,GCC,Embodied,3.21594447824329e-08
2000,aluminium,Oceania,North America,Embodied,0.0006599273214773227
2000,aluminium,Oceania,Oceania,Domestic,0.01705393102034023
2000,aluminium,Oceania,Oceania,Embodied,8.075931508529731e-05
2000,aluminium,Oceania,Rest of Asia,Embodied,0.062218174393445
2000,aluminium,Oceania,South America,Embodied,0.00011953212137204781
2000,aluminium,Rest of Asia,Africa,Embodied,9.441237990098272e-06
2000,aluminium,Rest of Asia,China,Embodied,0.0006204250084183783
2000,aluminium,Rest of Asia,Europe,Embodied,0.00021680221407418252
2000,aluminium,Rest of Asia,GCC,Embodied,8.769357349307712e-06
2000,aluminium,Rest of Asia,North America,Embodied,0.0008176780324190802
2000,aluminium,Rest of Asia,Oceania,Embodied,7.313237063995484e-07
2000,aluminium,Rest of Asia,Rest of Asia,Domestic,0.03861815683634508
2000,aluminium,Rest of Asia,Rest of Asia,Embodied,0.009797915469888492
2000,aluminium,Rest of Asia,South America,Embodied,1.672348904247192e-05
2000,aluminium,South America,Africa,Embodied,0.0001089381779178397
2000,aluminium,South America,China,Embodied,9.642570912521519e-05
2000,aluminium,South America,Europe,Embodied,0.019030252145901653
2000,aluminium,South America,GCC,Embodied,1.0995339869230964e-06
2000,aluminium,South America,North America,Embodied,0.010010759640158642
2000,aluminium,South America,Oceania,Embodied,3.268097569342772e-06
2000,aluminium,South America,Rest of Asia,Embodied,0.019728759189240063
2000,aluminium,South America,South America,Domestic,0.03435757582131629
2000,aluminium,South America,South America,Embodied,0.005880191012530473
2000,bauxite,Africa,Africa,Domestic,0.04172755514646469
2000,bauxite,Africa,Africa,Embodied,0.00010897770135933409
2000,bauxite,Africa,China,Embodied,2.8206991405717667e-07
2000,bauxite,Africa,Europe,Embodied,0.07360595913739586
2000,bauxite,Africa,GCC,Embodied,2.487734669148923e-07
2000,bauxite,Africa,North America,Embodied,2.8259745725190337e-05
2000,bauxite,Africa,Oceania,Embodied,1.7244401656600834e-07
2000,bauxite,Africa,Rest of Asia,Embodied,0.003886582986096883
2000,bauxite,Africa,South America,Embodied,1.7948265410589327e-06
2000,bauxite,China,Africa,Embodied,0.0001489410867229655
2000,bauxite,China,China,Domestic,0.05982093893888277
2000,bauxite,China,Europe,Embodied,0.004460189250606808
2000,bauxite,China,GCC,Embodied,1.4568405379903875e-05
2000,bauxite,China,North America,Embodied,3.167182704400998e-05
2000,bauxite,China,Oceania,Embodied,4.6142343185794134e-05
2000,bauxite,China,Rest of Asia,Embodied,0.0013275937387991375
2000,bauxite,China,South America,Embodied,0.0004120736589586292
2000,bauxite,Europe,Africa,Embodied,9.488267057105062e-07
2000,bauxite,Europe,China,Embodied,1.6790328199878296e-05
2000,bauxite,Europe,Europe,Domestic,0.057225275668315985
2000,bauxite,Europe,Europe,Embodied,0.003973067621428742
2000,bauxite,Europe,GCC,Embodied,1.0628000920210782e-07
2000,bauxite,Europe,North America,Embodied,0.0006265093070245287
2000,bauxite,Europe,Oceania,Embodied,8.937167677350529e-08
2000,bauxite,Europe,Rest of Asia,Embodied,3.7759651969618266e-06
2000,bauxite,Europe,South America,Embodied,2.0349041654773128e-06
2000,bauxite,Oceania,Oceania,Domestic,0.3961171576112978
2000,bauxite,Rest of Asia,Africa,Embodied,1.81107925165186e-06
2000,bauxite,Rest of Asia,China,Embodied,1.4966729569780659e-05
2000,bauxite,Rest of Asia,Europe,Embodied,0.003457596771029937
2000,bauxite,Rest of Asia,GCC,Embodied,0.0035799621948755683
2000,bauxite,Rest of Asia,North America,Embodied,0.0007730452657350624
2000,bauxite,Rest of Asia,Oceania,Embodied,5.2510344143011364e-08
2000,bauxite,Rest of Asia,Rest of Asia,Domestic,0.07940465147201962
2000,bauxite,Rest of Asia,Rest of Asia,Embodied,0.008291498657608773
2000,bauxite,Rest of Asia,South America,Embodied,1.0496980757625965e-06
2000,bauxite,South America,Africa,Embodied,0.0001547318322280754
2000,bauxite,South America,China,Embodied,2.0792185974547198e-05
2000,bauxite,South America,Europe,Embodied,0.014587839806333016
2000,bauxite,South America,GCC,Embodied,1.7284894673710637e-07
2000,bauxite,South America,North America,Embodied,0.03534904909726903
2000,bauxite,South America,Oceania,Embodied,3.557178144842003e-05
2000,bauxite,South America,Rest of Asia,Embodied,0.0001984032077580105
2000,bauxite,South America,South America,Domestic,0.20996373204118407
2000,bauxite,South America,South America,Embodied,0.0005773648557662818
2017,alumina,China,Africa,Embodied,9.076998469514114e-05
2017,alumina,China,China,Domestic,0.5918009945192385
2017,alumina,China,Europe,Embodied,0.0005056069521435
2017,alumina,China,GCC,Embodied,0.00011941531198879642
2017,alumina,China,North America,Embodied,0.00011855877684516148
2017,alumina,China,Oceania,Embodied,3.0591465204026717e-06
2017,alumina,China,Rest of Asia,Embodied,0.0008213262479929939
2017,alumina,China,South America,Embodied,3.76026232799167e-05
2017,alumina,Europe,Africa,Embodied,7.494464135719629e-08
2017,alumina,Europe,China,Embodied,1.3767251368600777e-07
2017,alumina,Europe,Europe,Domestic,0.023625124784714246
2017,alumina,Europe,Europe,Embodied,1.730801275838681e-05
2017,alumina,Europe,GCC,Embodied,5.244317555005476e-06
2017,alumina,Europe,North America,Embodied,5.053662070343651e-08
2017,alumina,Europe,Oceania,Embodied,4.431920715018575e-10
2017,alumina,Europe,Rest of Asia,Embodied,0.000608019270636455
2017,alumina,Europe,South America,Embodied,1.799775687946183e-08
2017,alumina,North America,Africa,Embodied,1.3637071135016273e-05
2017,alumina,North America,China,Embodied,9.966701172443081e-05
2017,alumina,North America,Europe,Embodied,0.0012632095302420523
2017,alumina,North America,GCC,Embodied,0.000219981987494408
2017,alumina,North America,North America,Domestic,0.023568406299144876
2017,alumina,North America,North America,Embodied,0.00021592770335804925
2017,alumina,North America,Oceania,Embodied,2.199088947518079e-07
2017,alumina,North America,Rest of Asia,Embodied,0.00020970896909685581
2017,alumina,North America,South America,Embodied,0.0002134734129401917
