Location,Stage,Score,Rel_Score,Year,Method_name,Midpoint,Midpoint_abb,Unit
EG,Primary Aluminium Ingot production,34652166.98587967,9.150905469094877e-05,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
TJ,Primary Aluminium Ingot production,49356419.85502022,0.00013033988107303413,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
OM,Primary Aluminium Ingot production,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
SA,Primary Aluminium Ingot production,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
US,Primary Aluminium Ingot production,672589027.2663884,0.001776165574456917,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
BR,Primary Aluminium Ingot production,234131308.1532703,0.0006182913377795816,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
NL,Primary Aluminium Ingot production,68691334.08923289,0.0001813993061538479,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
ZA,Primary Aluminium Ingot production,123480155.20980014,0.00032608501168036256,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
IS,Primary Aluminium Ingot production,51000526.4699641,0.00013468161941817015,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
NG,Primary Aluminium Ingot production,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
FR,Primary Aluminium Ingot production,100439161.81678554,0.00026523861424165884,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
GB,Primary Aluminium Ingot production,69465449.22315201,0.00018344358073430235,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
PL,Primary Aluminium Ingot production,10687570.14744011,2.8223615612090734e-05,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
AE,Primary Aluminium Ingot production,86172055.46753147,0.00022756219949601026,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
HR,Primary Aluminium Ingot production,3426597.8722007126,9.048921304658306e-06,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
QA,Primary Aluminium Ingot production,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
SK,Primary Aluminium Ingot production,31136049.090834815,8.22237299120224e-05,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
CH,Primary Aluminium Ingot production,6793420.822081564,1.7939989663555837e-05,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
JP,Primary Aluminium Ingot production,1198341.6053952905,3.1645670976721813e-06,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
