Location,Score,Midpoint_abb,Name,Year
GLO,0.005692216655406357,FEP,"aluminium production, primary, ingot",2013
GLO,0.0030360170537726155,MEP,"aluminium production, primary, ingot",2013
GLO,4.2700600018082253e-07,ODPinf,"aluminium production, primary, ingot",2013
GLO,0.04985172791030749,POFP,"aluminium production, primary, ingot",2013
GLO,0.09170759701700108,TAP100,"aluminium production, primary, ingot",2013
GLO,19.047672433014686,GWP100,"aluminium production, primary, ingot",2014
GLO,0.005661199321077508,FEP,"aluminium production, primary, ingot",2014
GLO,0.0030318653534456338,MEP,"aluminium production, primary, ingot",2014
GLO,4.1928114711459854e-07,ODPinf,"aluminium production, primary, ingot",2014
GLO,0.049844783238192594,POFP,"aluminium production, primary, ingot",2014
GLO,0.09127683660106371,TAP100,"aluminium production, primary, ingot",2014
GLO,19.15002460532642,GWP100,"aluminium production, primary, ingot",2015
GLO,0.0056513145830339616,FEP,"aluminium production, primary, ingot",2015
GLO,0.0030426429534852694,MEP,"aluminium production, primary, ingot",2015
GLO,4.035787039797709e-07,ODPinf,"aluminium production, primary, ingot",2015
GLO,0.050130471614564534,POFP,"aluminium production, primary, ingot",2015
GLO,0.09172536365856986,TAP100,"aluminium production, primary, ingot",2015
GLO,19.305408004569543,GWP100,"aluminium production, primary, ingot",2016
GLO,0.005586005418856612,FEP,"aluminium production, primary, ingot",2016
GLO,0.003052294464377265,MEP,"aluminium production, primary, ingot",2016
GLO,4.015511794868518e-07,ODPinf,"aluminium production, primary, ingot",2016
GLO,0.0508674752740939,POFP,"aluminium production, primary, ingot",2016
GLO,0.0930576831668864,TAP100,"aluminium production, primary, ingot",2016
GLO,19.300323716323867,GWP100,"aluminium production, primary, ingot",2017
GLO,0.005377802267751264,FEP,"aluminium production, primary, ingot",2017
GLO,0.003013359251254975,MEP,"aluminium production, primary, ingot",2017
GLO,4.049675017648934e-07,ODPinf,"aluminium production, primary, ingot",2017
GLO,0.050988879462998425,POFP,"aluminium production, primary, ingot",2017
GLO,0.09301213673522767,TAP100,"aluminium production, primary, ingot",2017
