Database,Code,Name,Location,Unit,Amount_fu,Method_name,Midpoint,Midpoint_abb,Midpoint_unit,Score,Year
ecoinvent 3.4 cutoff to edit,12c0a15643b74aa58c128222b775d367,alumina production,AU,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,1.1137183313145056,2000
ecoinvent 3.4 cutoff to edit,12c0a15643b74aa58c128222b775d367,alumina production,AU,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.0005157651254220222,2000
ecoinvent 3.4 cutoff to edit,12c0a15643b74aa58c128222b775d367,alumina production,AU,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.00014639118240278737,2000
ecoinvent 3.4 cutoff to edit,12c0a15643b74aa58c128222b775d367,alumina production,AU,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,1.2682710076121773e-07,2000
ecoinvent 3.4 cutoff to edit,12c0a15643b74aa58c128222b775d367,alumina production,AU,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.002766325956641622,2000
ecoinvent 3.4 cutoff to edit,12c0a15643b74aa58c128222b775d367,alumina production,AU,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.005576649352529141,2000
ecoinvent 3.4 cutoff to edit,a26dce6a853d4a5799b662f4c5f369b3,alumina production,GR,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,1.6237368177705263,2000
ecoinvent 3.4 cutoff to edit,a26dce6a853d4a5799b662f4c5f369b3,alumina production,GR,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.0005641977363290627,2000
ecoinvent 3.4 cutoff to edit,a26dce6a853d4a5799b662f4c5f369b3,alumina production,GR,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.0002017866919200643,2000
ecoinvent 3.4 cutoff to edit,a26dce6a853d4a5799b662f4c5f369b3,alumina production,GR,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,2.6813154411561523e-07,2000
ecoinvent 3.4 cutoff to edit,a26dce6a853d4a5799b662f4c5f369b3,alumina production,GR,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.004150679343838711,2000
ecoinvent 3.4 cutoff to edit,a26dce6a853d4a5799b662f4c5f369b3,alumina production,GR,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.009553983775498449,2000
ecoinvent 3.4 cutoff to edit,ddb42c41e797403d81a1c6f454fc30db,alumina production,VN,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,2.389442969172748,2000
ecoinvent 3.4 cutoff to edit,ddb42c41e797403d81a1c6f454fc30db,alumina production,VN,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.0008709708217083814,2000
ecoinvent 3.4 cutoff to edit,ddb42c41e797403d81a1c6f454fc30db,alumina production,VN,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.0003291112675977946,2000
ecoinvent 3.4 cutoff to edit,ddb42c41e797403d81a1c6f454fc30db,alumina production,VN,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,1.9312847464552964e-07,2000
ecoinvent 3.4 cutoff to edit,ddb42c41e797403d81a1c6f454fc30db,alumina production,VN,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.006253624651879414,2000
ecoinvent 3.4 cutoff to edit,ddb42c41e797403d81a1c6f454fc30db,alumina production,VN,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.01468837496744408,2000
ecoinvent 3.4 cutoff to edit,6d60d578ece74beeb77a140799856106,alumina production,IT,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,1.6237628460500961,2000
ecoinvent 3.4 cutoff to edit,6d60d578ece74beeb77a140799856106,alumina production,IT,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.0005641800401963981,2000
ecoinvent 3.4 cutoff to edit,6d60d578ece74beeb77a140799856106,alumina production,IT,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.0002017855854912615,2000
ecoinvent 3.4 cutoff to edit,6d60d578ece74beeb77a140799856106,alumina production,IT,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,2.6812944507231867e-07,2000
ecoinvent 3.4 cutoff to edit,6d60d578ece74beeb77a140799856106,alumina production,IT,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.004150777756294375,2000
ecoinvent 3.4 cutoff to edit,6d60d578ece74beeb77a140799856106,alumina production,IT,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.009554131717590356,2000
ecoinvent 3.4 cutoff to edit,c1c9ada891df4ac8bea76e5e107d937d,alumina production,IN,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,2.651206552941023,2000
