Database,Code,Name,Location,Unit,Amount_fu,Method_name,Midpoint,Midpoint_abb,Midpoint_unit,Score,Year
ecoinvent 3.4 cutoff to edit,7f43193d960a434187faff7de3805571,"aluminium production, primary, ingot",SE,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.023590695372056148,2004
ecoinvent 3.4 cutoff to edit,7f43193d960a434187faff7de3805571,"aluminium production, primary, ingot",SE,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.049545406123354015,2004
ecoinvent 3.4 cutoff to edit,955c2f885066459cbf814abaf3ba2499,"aluminium production, primary, ingot",ZA,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,19.217551365106775,2004
ecoinvent 3.4 cutoff to edit,955c2f885066459cbf814abaf3ba2499,"aluminium production, primary, ingot",ZA,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.011127854170526827,2004
ecoinvent 3.4 cutoff to edit,955c2f885066459cbf814abaf3ba2499,"aluminium production, primary, ingot",ZA,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.005197897774256019,2004
ecoinvent 3.4 cutoff to edit,955c2f885066459cbf814abaf3ba2499,"aluminium production, primary, ingot",ZA,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,3.9420133209086814e-07,2004
ecoinvent 3.4 cutoff to edit,955c2f885066459cbf814abaf3ba2499,"aluminium production, primary, ingot",ZA,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.07784530241683194,2004
ecoinvent 3.4 cutoff to edit,955c2f885066459cbf814abaf3ba2499,"aluminium production, primary, ingot",ZA,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.15799982111860175,2004
ecoinvent 3.4 cutoff to edit,230f8c36caf2409c9338ac0d62682e8e,"aluminium production, primary, ingot",CA,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,4.724204822989761,2004
ecoinvent 3.4 cutoff to edit,230f8c36caf2409c9338ac0d62682e8e,"aluminium production, primary, ingot",CA,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.0011390821919354881,2004
ecoinvent 3.4 cutoff to edit,230f8c36caf2409c9338ac0d62682e8e,"aluminium production, primary, ingot",CA,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.0006618279887787811,2004
ecoinvent 3.4 cutoff to edit,230f8c36caf2409c9338ac0d62682e8e,"aluminium production, primary, ingot",CA,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,4.222880461408861e-07,2004
ecoinvent 3.4 cutoff to edit,230f8c36caf2409c9338ac0d62682e8e,"aluminium production, primary, ingot",CA,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.013206305115539479,2004
ecoinvent 3.4 cutoff to edit,230f8c36caf2409c9338ac0d62682e8e,"aluminium production, primary, ingot",CA,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.03243491336496932,2004
ecoinvent 3.4 cutoff to edit,c318ef5843cc4cfaa265bdb87e3c0144,"aluminium production, primary, ingot",BA,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,12.725926905453386,2004
ecoinvent 3.4 cutoff to edit,c318ef5843cc4cfaa265bdb87e3c0144,"aluminium production, primary, ingot",BA,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.008547644653877862,2004
ecoinvent 3.4 cutoff to edit,c318ef5843cc4cfaa265bdb87e3c0144,"aluminium production, primary, ingot",BA,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.003236379126474874,2004
ecoinvent 3.4 cutoff to edit,c318ef5843cc4cfaa265bdb87e3c0144,"aluminium production, primary, ingot",BA,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,9.552925097246206e-07,2004
ecoinvent 3.4 cutoff to edit,c318ef5843cc4cfaa265bdb87e3c0144,"aluminium production, primary, ingot",BA,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.03488545673118235,2004
ecoinvent 3.4 cutoff to edit,c318ef5843cc4cfaa265bdb87e3c0144,"aluminium production, primary, ingot",BA,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.08051055162878024,2004
ecoinvent 3.4 cutoff to edit,c13ad954a3f4494e92f7cb07fe519635,"aluminium production, primary, ingot",NG,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,19.928753937424197,2004
ecoinvent 3.4 cutoff to edit,c13ad954a3f4494e92f7cb07fe519635,"aluminium production, primary, ingot",NG,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.011246683161557235,2004
ecoinvent 3.4 cutoff to edit,c13ad954a3f4494e92f7cb07fe519635,"aluminium production, primary, ingot",NG,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.005287382155114978,2004
ecoinvent 3.4 cutoff to edit,c13ad954a3f4494e92f7cb07fe519635,"aluminium production, primary, ingot",NG,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,5.040895150734384e-07,2004
ecoinvent 3.4 cutoff to edit,c13ad954a3f4494e92f7cb07fe519635,"aluminium production, primary, ingot",NG,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.07996087056738935,2004
ecoinvent 3.4 cutoff to edit,c13ad954a3f4494e92f7cb07fe519635,"aluminium production, primary, ingot",NG,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.16410719822436887,2004
ecoinvent 3.4 cutoff to edit,54e0b73a67514bf6b15b4254487a6cf1,"aluminium production, primary, ingot",JP,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,26.812182761339823,2004
ecoinvent 3.4 cutoff to edit,54e0b73a67514bf6b15b4254487a6cf1,"aluminium production, primary, ingot",JP,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.014513945083073541,2004
ecoinvent 3.4 cutoff to edit,54e0b73a67514bf6b15b4254487a6cf1,"aluminium production, primary, ingot",JP,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.005428361827220367,2004
ecoinvent 3.4 cutoff to edit,54e0b73a67514bf6b15b4254487a6cf1,"aluminium production, primary, ingot",JP,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,4.229612413944557e-07,2004
ecoinvent 3.4 cutoff to edit,54e0b73a67514bf6b15b4254487a6cf1,"aluminium production, primary, ingot",JP,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.06712632118151128,2004
ecoinvent 3.4 cutoff to edit,54e0b73a67514bf6b15b4254487a6cf1,"aluminium production, primary, ingot",JP,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.12182249155238917,2004
ecoinvent 3.4 cutoff to edit,88206142d02a4f7694973a4df4e5575f,"aluminium production, primary, ingot",TJ,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,26.51353446052601,2004
ecoinvent 3.4 cutoff to edit,88206142d02a4f7694973a4df4e5575f,"aluminium production, primary, ingot",TJ,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.01438283072257184,2004
ecoinvent 3.4 cutoff to edit,88206142d02a4f7694973a4df4e5575f,"aluminium production, primary, ingot",TJ,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.005375068198763062,2004
ecoinvent 3.4 cutoff to edit,88206142d02a4f7694973a4df4e5575f,"aluminium production, primary, ingot",TJ,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,5.161910700504908e-07,2004
ecoinvent 3.4 cutoff to edit,88206142d02a4f7694973a4df4e5575f,"aluminium production, primary, ingot",TJ,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.06605416592492658,2004
ecoinvent 3.4 cutoff to edit,88206142d02a4f7694973a4df4e5575f,"aluminium production, primary, ingot",TJ,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.11858790561556024,2004
ecoinvent 3.4 cutoff to edit,0fd6266794554e4db62f6c2ddcc69e5c,"aluminium production, primary, ingot",SI,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,10.638584032395018,2004
ecoinvent 3.4 cutoff to edit,0fd6266794554e4db62f6c2ddcc69e5c,"aluminium production, primary, ingot",SI,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.008006689790899375,2004
ecoinvent 3.4 cutoff to edit,0fd6266794554e4db62f6c2ddcc69e5c,"aluminium production, primary, ingot",SI,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.002736143243996336,2004
ecoinvent 3.4 cutoff to edit,0fd6266794554e4db62f6c2ddcc69e5c,"aluminium production, primary, ingot",SI,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,9.224708149448476e-07,2004
ecoinvent 3.4 cutoff to edit,0fd6266794554e4db62f6c2ddcc69e5c,"aluminium production, primary, ingot",SI,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.024750789598227123,2004
ecoinvent 3.4 cutoff to edit,0fd6266794554e4db62f6c2ddcc69e5c,"aluminium production, primary, ingot",SI,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.051783207535826874,2004
ecoinvent 3.4 cutoff to edit,4e58aa2e10b6455ea1aaa6d8720716b3,"aluminium production, primary, ingot",AE,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,15.857599748523356,2004
ecoinvent 3.4 cutoff to edit,4e58aa2e10b6455ea1aaa6d8720716b3,"aluminium production, primary, ingot",AE,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.0017228835526230085,2004
ecoinvent 3.4 cutoff to edit,4e58aa2e10b6455ea1aaa6d8720716b3,"aluminium production, primary, ingot",AE,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.0014122886032960735,2004
ecoinvent 3.4 cutoff to edit,4e58aa2e10b6455ea1aaa6d8720716b3,"aluminium production, primary, ingot",AE,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,8.883280892404613e-07,2004
ecoinvent 3.4 cutoff to edit,4e58aa2e10b6455ea1aaa6d8720716b3,"aluminium production, primary, ingot",AE,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.02708372933641584,2004
ecoinvent 3.4 cutoff to edit,4e58aa2e10b6455ea1aaa6d8720716b3,"aluminium production, primary, ingot",AE,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.04703668051175329,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,GR,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,11.357816233530377,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,GR,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.008140659796964145,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,GR,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.002848090183311533,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,GR,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,9.023902948399785e-07,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,GR,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.027271698976868798,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,GR,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.056819945360091745,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,VN,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,22.486302936123856,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,VN,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.014148578398741762,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,VN,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.005073126115449398,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,VN,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,4.799473377891296e-07,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,VN,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.057320096786746995,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,VN,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.10762239082591946,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,CA,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,5.187776778355626,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,CA,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.0017398081426215628,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,CA,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.0008231688411227359,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,CA,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,4.2892003557391927e-07,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,CA,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.013966579746891422,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,CA,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.033992826550239594,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,RU,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,12.878139171294055,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,RU,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.008611166914545965,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,RU,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.003262744927400301,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,RU,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,9.055442283510705e-07,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,RU,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.03545315456161801,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,RU,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.08227318064988488,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,FR,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,11.432793374590103,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,FR,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.008186524310335001,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,FR,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.0029547502852063636,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,FR,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,8.446361291432645e-07,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,FR,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.030189783035406426,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,FR,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.0631174900159615,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,ID,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,23.10911221163309,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,ID,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.014683035114732988,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,ID,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.0051593539912304955,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,ID,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,4.741837636965749e-07,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,ID,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.0570817671782737,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,ID,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.10329785956169996,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,ES,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,11.752876954550464,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,ES,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.008350653879021747,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,ES,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.0030340652718693056,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,ES,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,8.566859886496899e-07,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,ES,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.03135420441496035,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,ES,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.06575207954621147,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,BH,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,14.94464703685284,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,BH,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.0016459240645373611,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,BH,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.0013235662372122698,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,BH,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,8.264525779237989e-07,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,BH,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.024519628347516375,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,BH,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.03932588233885825,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,TH,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,18.655456132652493,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,TH,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.01636766015896677,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,TH,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.005278558733688132,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,TH,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,5.485298060137147e-07,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,TH,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.04910655761741116,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,TH,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.09604221334967239,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,MX,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,9.672565490158249,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,MX,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.00683846200692261,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,MX,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.002257083924089735,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,MX,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,5.114584484732547e-07,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,MX,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.02066193527027921,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,MX,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.046935618579071296,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,BR,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,6.6896654686145265,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,BR,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.0011461355062821995,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,BR,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.0009039025882726016,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,BR,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,5.148425820015841e-07,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,BR,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.014857797652003403,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,BR,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.03296850785559678,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,IT,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,13.165682489602418,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,IT,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.008628334135842665,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,IT,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.003295660780424062,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,IT,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,8.086214640805787e-07,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,IT,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.03738623041640491,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,IT,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.07789756203169228,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,NL,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,10.273693559310942,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,NL,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.007152229131560382,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,NL,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.0025499983345016286,2004
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,NL,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,8.252895364558196e-07,2004
