Database,Code,Name,Location,Unit,Amount_fu,Method_name,Midpoint,Midpoint_abb,Midpoint_unit,Score,Year,Type
ecoinvent 3.4 cutoff to edit,1ed7c3386d2a42ab863b5ee01784658a,"aluminium production, primary, ingot",KZ,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,5.573346977880206e-07,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,1ed7c3386d2a42ab863b5ee01784658a,"aluminium production, primary, ingot",KZ,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.06705599749560302,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,1ed7c3386d2a42ab863b5ee01784658a,"aluminium production, primary, ingot",KZ,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.11979471824938051,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,c13ad954a3f4494e92f7cb07fe519635,"aluminium production, primary, ingot",NG,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,17.931936565064348,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,c13ad954a3f4494e92f7cb07fe519635,"aluminium production, primary, ingot",NG,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.009679903943814926,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,c13ad954a3f4494e92f7cb07fe519635,"aluminium production, primary, ingot",NG,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.00459030094066213,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,c13ad954a3f4494e92f7cb07fe519635,"aluminium production, primary, ingot",NG,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,4.462634465225113e-07,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,c13ad954a3f4494e92f7cb07fe519635,"aluminium production, primary, ingot",NG,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.06969707613200012,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,c13ad954a3f4494e92f7cb07fe519635,"aluminium production, primary, ingot",NG,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.1436694227819498,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,54e0b73a67514bf6b15b4254487a6cf1,"aluminium production, primary, ingot",JP,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,26.620915936273683,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,54e0b73a67514bf6b15b4254487a6cf1,"aluminium production, primary, ingot",JP,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.014198796938845792,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,54e0b73a67514bf6b15b4254487a6cf1,"aluminium production, primary, ingot",JP,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.005397231509965972,2000,globalized_for_alumina
