Country,Ecoinvent_name,Domestic_production,Apparent_consumption,Domestic_production_ratio,Mineral,Year
Argentina,AR,78079445.66929883,78829314.74233891,0.9904874338246996,aluminium,2000
Australia,AU,368215636.095169,369475117.84055513,0.9965911595001381,aluminium,2000
Bahrain,BH,316512488.310378,317067919.60116243,0.9982482261482553,aluminium,2000
Bosnia Herzegovina,BA,15367154.507673424,16646525.262729708,0.9231448764913902,aluminium,2000
Brazil,BR,490572041.3584987,491975409.90447605,0.9971474823380911,aluminium,2000
Cameroon,CM,18112727.586703163,18116361.544979367,0.9997994101482695,aluminium,2000
Canada,CA,719657027.3442143,784410212.7471775,0.9174498440348153,aluminium,2000
China,CN,2637569321.9420795,3080320441.5609636,0.8562645906428753,aluminium,2000
Croatia,HR,14384431.451028977,39399462.152670465,0.3650920765184611,aluminium,2000
Egypt,EG,127658515.46361732,128501710.10614614,0.9934382613131583,aluminium,2000
France,FR,363655060.8189144,733453426.1153873,0.49581206913839404,aluminium,2000
Germany,DE,532172717.0008004,1447605247.0503259,0.3676228157401114,aluminium,2000
Ghana,GH,24824131.707190674,24828979.3280951,0.9998047595577583,aluminium,2000
Greece,GR,124156698.60157487,231249253.19681248,0.5368955656514364,aluminium,2000
Hungary,HU,31395409.22795608,129619402.90010807,0.24221226549046157,aluminium,2000
Iceland,IS,15722186.11594237,15815742.312109794,0.9940846155481561,aluminium,2000
India,IN,497286190.7455241,527648363.270575,0.9424575633346912,aluminium,2000
Indonesia,ID,61455806.725793295,103412673.90548736,0.5942773202244052,aluminium,2000
Iran,IR,103962899.43368784,106083858.77412532,0.9800067666754708,aluminium,2000
Italy,IT,181440992.26096705,759410544.9552618,0.23892345644430846,aluminium,2000
Japan,JP,6501646.387025779,2800182007.207555,0.002321865639551574,aluminium,2000
Mexico,MX,59483951.802993946,287812900.4673973,0.2066757664663198,aluminium,2000
Mozambique,MZ,36711419.22589265,36775560.496082745,0.9982558723966443,aluminium,2000
Netherlands,NL,152980866.90141195,598227377.2524124,0.25572361399445637,aluminium,2000
New Zealand,NZ,46586669.06735228,47915459.55595509,0.9722680216173015,aluminium,2000
Norway,NO,76761751.64789008,77487197.86723925,0.990637857100058,aluminium,2000
Poland,PL,32597577.421706423,86574322.96202436,0.3765270845491368,aluminium,2000
Romania,RO,105924357.44788365,106066489.44384576,0.9986599726576474,aluminium,2000
Russian Federation,RU,59183586.82503478,61406550.12604233,0.96379924785801,aluminium,2000
Serbia and Montenegro,ME,6938180.28797317,7014441.551862501,0.9891279635983165,aluminium,2000
