Year,Category,Region,value
1989,DC,North America,ND
1990,AC,North America,16443
1990,DC,North America,ND
1991,AC,North America,16273
1991,DC,North America,ND
1992,AC,North America,16164
1992,DC,North America,ND
1993,AC,North America,16015
1993,DC,North America,ND
1994,AC,North America,15987
1994,DC,North America,ND
1995,AC,North America,16048
1995,DC,North America,ND
1996,AC,North America,15984
1996,DC,North America,ND
1997,AC,North America,15985
1997,DC,North America,ND
1998,AC,North America,15940
1998,DC,North America,ND
1999,AC,North America,15371
1999,DC,North America,ND
2000,AC,North America,15772
2000,DC,North America,ND
2001,AC,North America,15201
2001,DC,North America,ND
2002,AC,North America,15224
2002,DC,North America,ND
2003,AC,North America,15529
2003,DC,North America,ND
2004,AC,North America,15613
2004,DC,North America,ND
2005,AC,North America,15552
2005,DC,North America,ND
2006,AC,North America,15563
2006,DC,North America,14638
2007,AC,North America,15421
2007,DC,North America,14644
2008,AC,North America,15498
2008,DC,North America,14676
2009,AC,North America,15006
2009,DC,North America,14503
2010,AC,North America,15120
2010,DC,North America,14455
2011,AC,North America,15409
2011,DC,North America,14592
2012,AC,North America,15458
2012,DC,North America,14540
2013,DC,North America,14373
2013,AC,North America,15584
2014,DC,North America,14117
2014,AC,North America,14870
2015,DC,North America,13772
2015,AC,North America,15130
1980,AC,Asia (ex China),15680
1980,DC,Asia (ex China),ND
1981,AC,Asia (ex China),15864
1981,DC,Asia (ex China),ND
1982,AC,Asia (ex China),16495
1982,DC,Asia (ex China),ND
1983,AC,Asia (ex China),16997
1983,DC,Asia (ex China),ND
1984,AC,Asia (ex China),16563
1984,DC,Asia (ex China),ND
1985,AC,Asia (ex China),16876
1985,DC,Asia (ex China),ND
1986,AC,Asia (ex China),16547
1986,DC,Asia (ex China),ND
1987,AC,Asia (ex China),16599
1987,DC,Asia (ex China),ND
1988,AC,Asia (ex China),16527
1988,DC,Asia (ex China),ND
1989,AC,Asia (ex China),16264
1989,DC,Asia (ex China),ND
1990,AC,Asia (ex China),16080
1990,DC,Asia (ex China),ND
1991,AC,Asia (ex China),16140
1991,DC,Asia (ex China),ND
1992,AC,Asia (ex China),16216
1992,DC,Asia (ex China),ND
1993,AC,Asia (ex China),15838
1993,DC,Asia (ex China),ND
1994,AC,Asia (ex China),15964
1994,DC,Asia (ex China),ND
1995,AC,Asia (ex China),16114
1995,DC,Asia (ex China),ND
1996,AC,Asia (ex China),15821
1996,DC,Asia (ex China),ND
1997,AC,Asia (ex China),15765
