Country,Value,Year,unit
USA,4860,2003,thousand metric tons
Venezuela,1882,2003,thousand metric tons
Australia,16382,2002,thousand metric tons
Azerbaijan,91,2002,thousand metric tons
Bosnia Herzegovina,50,2002,thousand metric tons
Brazil,3962,2002,thousand metric tons
Canada,1125,2002,thousand metric tons
China,5450,2002,thousand metric tons
France,150,2002,thousand metric tons
Germany,720,2002,thousand metric tons
Greece,750,2002,thousand metric tons
Guinea,724,2002,thousand metric tons
Hungary,294,2002,thousand metric tons
India,2800,2002,thousand metric tons
Iran,101,2002,thousand metric tons
Ireland,1100,2002,thousand metric tons
Italy,1010,2002,thousand metric tons
Jamaica,3631,2002,thousand metric tons
Japan,333,2002,thousand metric tons
Kazakhstan,1386,2002,thousand metric tons
Romania,361,2002,thousand metric tons
Russian Federation,3131,2002,thousand metric tons
Serbia and Montenegro,237,2002,thousand metric tons
Slovakia,112,2002,thousand metric tons
Slovenia,30,2002,thousand metric tons
Spain,1350,2002,thousand metric tons
Suriname,1900,2002,thousand metric tons
Turkey,152,2002,thousand metric tons
Ukraine,1351,2002,thousand metric tons
United Kingdom,74,2002,thousand metric tons
USA,4340,2002,thousand metric tons
Venezuela,1901,2002,thousand metric tons
Australia,16313,2001,thousand metric tons
Azerbaijan,95,2001,thousand metric tons
Bosnia Herzegovina,50,2001,thousand metric tons
Brazil,3445,2001,thousand metric tons
Canada,1036,2001,thousand metric tons
China,4650,2001,thousand metric tons
France,150,2001,thousand metric tons
Germany,715,2001,thousand metric tons
Greece,679,2001,thousand metric tons
Guinea,644,2001,thousand metric tons
Hungary,300,2001,thousand metric tons
India,2400,2001,thousand metric tons
Iran,NA,2001,thousand metric tons
Ireland,1100,2001,thousand metric tons
Italy,500,2001,thousand metric tons
Jamaica,3542,2001,thousand metric tons
Japan,331,2001,thousand metric tons
Kazakhstan,1231,2001,thousand metric tons
Romania,319,2001,thousand metric tons
Russian Federation,3046,2001,thousand metric tons
Serbia and Montenegro,201,2001,thousand metric tons
Slovakia,110,2001,thousand metric tons
Slovenia,34,2001,thousand metric tons
Spain,1100,2001,thousand metric tons
Suriname,1900,2001,thousand metric tons
Turkey,146,2001,thousand metric tons
Ukraine,1343,2001,thousand metric tons
United Kingdom,84,2001,thousand metric tons
USA,4340,2001,thousand metric tons
Venezuela,1833,2001,thousand metric tons
Australia,15680,2000,thousand metric tons
Azerbaijan,63,2000,thousand metric tons
Bosnia Herzegovina,50,2000,thousand metric tons
Brazil,3743,2000,thousand metric tons
Canada,1023,2000,thousand metric tons
China,4330,2000,thousand metric tons
France,200,2000,thousand metric tons
Germany,652,2000,thousand metric tons
Greece,667,2000,thousand metric tons
Guinea,541,2000,thousand metric tons
Hungary,357,2000,thousand metric tons
India,2280,2000,thousand metric tons
Iran,NA,2000,thousand metric tons
Ireland,1200,2000,thousand metric tons
Italy,950,2000,thousand metric tons
Jamaica,3600,2000,thousand metric tons
Japan,369,2000,thousand metric tons
Kazakhstan,1217,2000,thousand metric tons
Romania,417,2000,thousand metric tons
Russian Federation,2850,2000,thousand metric tons
Serbia and Montenegro,186,2000,thousand metric tons
Slovakia,110,2000,thousand metric tons
Slovenia,70,2000,thousand metric tons
Spain,1200,2000,thousand metric tons
Suriname,1800,2000,thousand metric tons
Turkey,155,2000,thousand metric tons
Ukraine,1360,2000,thousand metric tons
United Kingdom,80,2000,thousand metric tons
USA,4790,2000,thousand metric tons
Venezuela,1755,2000,thousand metric tons
Australia,14532,1999,thousand metric tons
Azerbaijan,76,1999,thousand metric tons
Bosnia Herzegovina,50,1999,thousand metric tons
Brazil,3515,1999,thousand metric tons
Canada,1070,1999,thousand metric tons
China,3840,1999,thousand metric tons
France,400,1999,thousand metric tons
Germany,583,1999,thousand metric tons
Greece,626,1999,thousand metric tons
Guinea,568,1999,thousand metric tons
Hungary,145,1999,thousand metric tons
India,2080,1999,thousand metric tons
Iran,NA,1999,thousand metric tons
Ireland,1200,1999,thousand metric tons
Italy,973,1999,thousand metric tons
Jamaica,3570,1999,thousand metric tons
Japan,335,1999,thousand metric tons
Kazakhstan,1158,1999,thousand metric tons
Romania,277,1999,thousand metric tons
Russian Federation,2657,1999,thousand metric tons
Serbia and Montenegro,156,1999,thousand metric tons
Slovakia,100,1999,thousand metric tons
Slovenia,70,1999,thousand metric tons
Spain,1200,1999,thousand metric tons
Suriname,1600,1999,thousand metric tons
Turkey,159,1999,thousand metric tons
Ukraine,1230,1999,thousand metric tons
United Kingdom,90,1999,thousand metric tons
USA,5140,1999,thousand metric tons
Venezuela,1469,1999,thousand metric tons
Australia,13853,1998,thousand metric tons
Azerbaijan,5,1998,thousand metric tons
Bosnia Herzegovina,50,1998,thousand metric tons
Brazil,3322,1998,thousand metric tons
Canada,1229,1998,thousand metric tons
China,3330,1998,thousand metric tons
France,450,1998,thousand metric tons
Germany,600,1998,thousand metric tons
Greece,625,1998,thousand metric tons
Guinea,500,1998,thousand metric tons
Hungary,138,1998,thousand metric tons
India,1890,1998,thousand metric tons
Ireland,1200,1998,thousand metric tons
Italy,930,1998,thousand metric tons
Jamaica,3440,1998,thousand metric tons
Japan,359,1998,thousand metric tons
Kazakhstan,1085,1998,thousand metric tons
Romania,250,1998,thousand metric tons
Russian Federation,2465,1998,thousand metric tons
Serbia and Montenegro,153,1998,thousand metric tons
Slovakia,100,1998,thousand metric tons
Slovenia,70,1998,thousand metric tons
Spain,1100,1998,thousand metric tons
Suriname,1600,1998,thousand metric tons
Turkey,157,1998,thousand metric tons
Ukraine,1291,1998,thousand metric tons
United Kingdom,96,1998,thousand metric tons
USA,5650,1998,thousand metric tons
Venezuela,1553,1998,thousand metric tons
