"Year","Region","ecoinvent_activity","value"
2006,"IAI Area, Asia, without China and GCC","electricity production, hydro, aluminium industry",0.201307932897356
2006,"IAI Area, Gulf Cooperation Council","electricity production, hydro, aluminium industry",0
2006,"IAI Area, EU27 & EFTA","electricity production, hydro, aluminium industry",0.633092585478294
2006,"IAI Area, Russia & RER w/o EU27 & EFTA","electricity production, hydro, aluminium industry",0.633092585478294
2006,"UN-OCEANIA","electricity production, hydro, aluminium industry",0.224365813181603
2006,"GLO","electricity production, hydro, aluminium industry",0.468221089157992
2007,"CA-QC","electricity production, hydro, aluminium industry",1
2007,"CN","electricity production, hydro, aluminium industry",0.0999983496806632
2007,"IAI Area, Africa","electricity production, hydro, aluminium industry",0.506784771956276
2007,"IAI Area, North America, without Quebec","electricity production, hydro, aluminium industry",0.434227008459332
2007,"IAI Area, South America","electricity production, hydro, aluminium industry",0.937263813706465
2007,"IAI Area, Asia, without China and GCC","electricity production, hydro, aluminium industry",0.194546912590217
2007,"IAI Area, Gulf Cooperation Council","electricity production, hydro, aluminium industry",0
2007,"IAI Area, EU27 & EFTA","electricity production, hydro, aluminium industry",0.639201622835615
2007,"IAI Area, Russia & RER w/o EU27 & EFTA","electricity production, hydro, aluminium industry",0.639201622835615
2007,"UN-OCEANIA","electricity production, hydro, aluminium industry",0.227445739024319
2007,"GLO","electricity production, hydro, aluminium industry",0.462473260537127
2008,"CA-QC","electricity production, hydro, aluminium industry",1
2008,"CN","electricity production, hydro, aluminium industry",0.100002061473129
2008,"IAI Area, Africa","electricity production, hydro, aluminium industry",0.21977156360772
2008,"IAI Area, North America, without Quebec","electricity production, hydro, aluminium industry",0.360540198620826
2008,"IAI Area, South America","electricity production, hydro, aluminium industry",0.896809331019857
2008,"IAI Area, Asia, without China and GCC","electricity production, hydro, aluminium industry",0.15938108277523
2008,"IAI Area, Gulf Cooperation Council","electricity production, hydro, aluminium industry",0
2008,"IAI Area, EU27 & EFTA","electricity production, hydro, aluminium industry",0.659197223479704
2008,"IAI Area, Russia & RER w/o EU27 & EFTA","electricity production, hydro, aluminium industry",0.659197223479704
2008,"UN-OCEANIA","electricity production, hydro, aluminium industry",0.218092649491846
2008,"GLO","electricity production, hydro, aluminium industry",0.448654332526941
2009,"CA-QC","electricity production, hydro, aluminium industry",1
2009,"CN","electricity production, hydro, aluminium industry",0.100002062748819
2009,"IAI Area, Africa","electricity production, hydro, aluminium industry",0.201356096379707
2009,"IAI Area, North America, without Quebec","electricity production, hydro, aluminium industry",0.22818109911954
2009,"IAI Area, South America","electricity production, hydro, aluminium industry",0.813698349225879
2009,"IAI Area, Asia, without China and GCC","electricity production, hydro, aluminium industry",0.0254717779470255
2009,"IAI Area, Gulf Cooperation Council","electricity production, hydro, aluminium industry",0
2009,"IAI Area, EU27 & EFTA","electricity production, hydro, aluminium industry",0.757756063084016
2009,"IAI Area, Russia & RER w/o EU27 & EFTA","electricity production, hydro, aluminium industry",0.757756063084016
2009,"UN-OCEANIA","electricity production, hydro, aluminium industry",0.355908410282006
2009,"GLO","electricity production, hydro, aluminium industry",0.451086888586107
2010,"CA-QC","electricity production, hydro, aluminium industry",1
2010,"CN","electricity production, hydro, aluminium industry",0.1
2010,"IAI Area, Africa","electricity production, hydro, aluminium industry",0.43667063020214
2010,"IAI Area, North America, without Quebec","electricity production, hydro, aluminium industry",0.322158462098194
2010,"IAI Area, South America","electricity production, hydro, aluminium industry",0.839043067710732
2010,"IAI Area, Asia, without China and GCC","electricity production, hydro, aluminium industry",0.366981563309462
2010,"IAI Area, Gulf Cooperation Council","electricity production, hydro, aluminium industry",0
2010,"IAI Area, EU27 & EFTA","electricity production, hydro, aluminium industry",0.765569783640413
2010,"IAI Area, Russia & RER w/o EU27 & EFTA","electricity production, hydro, aluminium industry",0.765569783640413
2010,"UN-OCEANIA","electricity production, hydro, aluminium industry",0.225106916065489
2010,"GLO","electricity production, hydro, aluminium industry",0.47312536231992
2011,"CA-QC","electricity production, hydro, aluminium industry",1
2011,"CN","electricity production, hydro, aluminium industry",0.0999992838266574
2011,"IAI Area, Africa","electricity production, hydro, aluminium industry",0.462901179455853
2011,"IAI Area, North America, without Quebec","electricity production, hydro, aluminium industry",0.403743334708343
2011,"IAI Area, South America","electricity production, hydro, aluminium industry",0.855287133368601
2011,"IAI Area, Asia, without China and GCC","electricity production, hydro, aluminium industry",0.24547294142064
2011,"IAI Area, Gulf Cooperation Council","electricity production, hydro, aluminium industry",0
2011,"IAI Area, EU27 & EFTA","electricity production, hydro, aluminium industry",0.788425594956116
2011,"IAI Area, Russia & RER w/o EU27 & EFTA","electricity production, hydro, aluminium industry",0.788425594956116
2011,"UN-OCEANIA","electricity production, hydro, aluminium industry",0.235827533427672
2011,"GLO","electricity production, hydro, aluminium industry",0.439617331956456
2012,"CA-QC","electricity production, hydro, aluminium industry",1
2012,"CN","electricity production, hydro, aluminium industry",0.100001227724474
2012,"IAI Area, Africa","electricity production, hydro, aluminium industry",0.479125146916041
2012,"IAI Area, North America, without Quebec","electricity production, hydro, aluminium industry",0.45058665630629
2012,"IAI Area, South America","electricity production, hydro, aluminium industry",0.852574985851726
2012,"IAI Area, Asia, without China and GCC","electricity production, hydro, aluminium industry",0.0854925112058599
2012,"IAI Area, Gulf Cooperation Council","electricity production, hydro, aluminium industry",0
2012,"IAI Area, EU27 & EFTA","electricity production, hydro, aluminium industry",0.814016629899881
2012,"IAI Area, Russia & RER w/o EU27 & EFTA","electricity production, hydro, aluminium industry",0.814016629899881
2012,"UN-OCEANIA","electricity production, hydro, aluminium industry",0.24467680608365
2012,"GLO","electricity production, hydro, aluminium industry",0.429621839192391
2013,"CA-QC","electricity production, hydro, aluminium industry",1
2013,"CN","electricity production, hydro, aluminium industry",0.100000822871437
2013,"IAI Area, Africa","electricity production, hydro, aluminium industry",0.418144080255989
2013,"IAI Area, North America, without Quebec","electricity production, hydro, aluminium industry",0.522957228759897
2013,"IAI Area, South America","electricity production, hydro, aluminium industry",0.778613413164908
2013,"IAI Area, Asia, without China and GCC","electricity production, hydro, aluminium industry",0.0428592396888302
2013,"IAI Area, Gulf Cooperation Council","electricity production, hydro, aluminium industry",0
2013,"IAI Area, EU27 & EFTA","electricity production, hydro, aluminium industry",0.836572101562229
2013,"IAI Area, Russia & RER w/o EU27 & EFTA","electricity production, hydro, aluminium industry",0.836572101562229
2013,"UN-OCEANIA","electricity production, hydro, aluminium industry",0.335555555555556
2013,"GLO","electricity production, hydro, aluminium industry",0.410274641916067
2014,"CA-QC","electricity production, hydro, aluminium industry",1
2014,"CN","electricity production, hydro, aluminium industry",0.100000519483218
