Year,Region,source,value
2010,Africa & Asia,Coal,0.421895447
2010,Europe,Coal,0.000212324
2010,Oceania,Coal,0.124147697
2010,GLO,Coal,0.453766126
2011,North America,Coal,0
2011,China,Coal,0.724696933
2011,South America,Coal,0.21870375
2011,Africa & Asia,Coal,0.656204874
2011,Europe,Coal,0.000162625
2011,Oceania,Coal,0.165668938
2011,GLO,Coal,0.472148703
2012,North America,Coal,0.001911823
2012,China,Coal,0.724696933
2012,South America,Coal,0.218212558
2012,Africa & Asia,Coal,0.746218188
2012,Europe,Coal,0
2012,Oceania,Coal,0.203020269
2012,GLO,Coal,0.503907334
2013,North America,Coal,0.001222398
2013,China,Coal,0.724696933
2013,South America,Coal,0.240179237
2013,Africa & Asia,Coal,0.738394167
2013,Europe,Coal,0
2013,Oceania,Coal,0.206348637
2013,GLO,Coal,0.497154145
2014,North America,Coal,0.001039227
2014,China,Coal,0.724696933
2014,South America,Coal,0.255425918
2014,Africa & Asia,Coal,0.745527301
2014,Europe,Coal,0
2014,Oceania,Coal,0.243048474
2014,GLO,Coal,0.51166352
2015,North America,Coal,0
2015,China,Coal,0.724696933
2015,South America,Coal,0.250434353
2015,Africa & Asia,Coal,0.755223089
2015,Europe,Coal,0.166964359
2015,Oceania,Coal,0.272737325
2015,GLO,Coal,0.54053694
2016,North America,Coal,0.002044775
2016,China,Coal,0.724696933
2016,South America,Coal,0.282087013
2016,Africa & Asia,Coal,0.752156303
2016,Europe,Coal,0
2016,Oceania,Coal,0.300700956
2016,GLO,Coal,0.533745336
2017,North America,Coal,0.003696775
2017,China,Coal,0.724696933
2017,South America,Coal,0.284204385
2017,Africa & Asia,Coal,0.569589584
2017,Europe,Coal,0
2017,Oceania,Coal,0.30986202
2017,GLO,Coal,0.547947403
2018,North America,Coal,0
2018,China,Coal,0.724696933
2018,South America,Coal,0.317621253
2018,Africa & Asia,Coal,0.569518685
2018,Europe,Coal,0
2018,Oceania,Coal,0.315944418
2018,GLO,Coal,0.559641205
1985,North America,Oil,0.030786224
1985,China,Oil,0
1985,South America,Oil,0.861232682
1985,Africa & Asia,Oil,0.544531135
1985,Europe,Oil,0.514682043
1985,Oceania,Oil,0.251091142
1985,GLO,Oil,0.357537041
1986,North America,Oil,0.014620276
1986,China,Oil,0
1986,South America,Oil,0.718381082
1986,Africa & Asia,Oil,0.576552003
1986,Europe,Oil,0.542909862
1986,Oceania,Oil,0.221061686
1986,GLO,Oil,0.36242749
1987,North America,Oil,0.024563207
1987,China,Oil,0
1987,South America,Oil,0.703801487
1987,Africa & Asia,Oil,0.558125632
1987,Europe,Oil,0.582905104
1987,Oceania,Oil,0.233934839
1987,GLO,Oil,0.360392853
1988,North America,Oil,0.048375883
1988,China,Oil,0
1988,South America,Oil,0.675889463
1988,Africa & Asia,Oil,0.518380862
1988,Europe,Oil,0.617421535
