Country,Value,Year,unit
Australia,87900,2017,thousand metric tons
Bosnia Herzegovina,969,2017,thousand metric tons
Brazil,38500,2017,thousand metric tons
China,70000,2017,thousand metric tons
Dominican Republic,342,2017,thousand metric tons
Fiji,70,2017,thousand metric tons
Ghana,1939,2017,thousand metric tons
Greece,1800,2017,thousand metric tons
Guinea,46200,2017,thousand metric tons
Guyana,1500,2017,thousand metric tons
Hungary,12,2017,thousand metric tons
India,22900,2017,thousand metric tons
Indonesia,2900,2017,thousand metric tons
Iran,606,2017,thousand metric tons
Jamaica,8250,2017,thousand metric tons
Kazakhstan,5000,2017,thousand metric tons
Malaysia,2000,2017,thousand metric tons
Mexico,NA,2017,thousand metric tons
Montenegro,485,2017,thousand metric tons
Mozambique,6,2017,thousand metric tons
Pakistan,36,2017,thousand metric tons
Russian Federation,5520,2017,thousand metric tons
Saudi Arabia,4657,2017,thousand metric tons
Sierra Leone,1659,2017,thousand metric tons
Solomon Islands,288,2017,thousand metric tons
Suriname,NA,2017,thousand metric tons
United Republic of Tanzania,30,2017,thousand metric tons
Turkey,1575,2017,thousand metric tons
USA,NA,2017,thousand metric tons
Venezuela,1454,2017,thousand metric tons
Viet Nam,2400,2017,thousand metric tons
Australia,82000,2016,thousand metric tons
Bosnia Herzegovina,800,2016,thousand metric tons
Brazil,34400,2016,thousand metric tons
China,60800,2016,thousand metric tons
Dominican Republic,282,2016,thousand metric tons
Fiji,58,2016,thousand metric tons
Ghana,1600,2016,thousand metric tons
Greece,1800,2016,thousand metric tons
Guinea,31500,2016,thousand metric tons
Guyana,1700,2016,thousand metric tons
Hungary,10,2016,thousand metric tons
India,23886,2016,thousand metric tons
Indonesia,1400,2016,thousand metric tons
Iran,500,2016,thousand metric tons
Jamaica,8540,2016,thousand metric tons
Kazakhstan,5000,2016,thousand metric tons
Malaysia,1000,2016,thousand metric tons
Mexico,NA,2016,thousand metric tons
Montenegro,400,2016,thousand metric tons
Mozambique,5,2016,thousand metric tons
Pakistan,30,2016,thousand metric tons
Russian Federation,5431,2016,thousand metric tons
Saudi Arabia,3843,2016,thousand metric tons
Sierra Leone,1369,2016,thousand metric tons
Solomon Islands,238,2016,thousand metric tons
Suriname,NA,2016,thousand metric tons
United Republic of Tanzania,25,2016,thousand metric tons
Turkey,1300,2016,thousand metric tons
USA,NA,2016,thousand metric tons
Venezuela,1200,2016,thousand metric tons
Viet Nam,1200,2016,thousand metric tons
Australia,80910,2015,thousand metric tons
Bosnia Herzegovina,787,2015,thousand metric tons
Brazil,37057,2015,thousand metric tons
China,65000,2015,thousand metric tons
Dominican Republic,1724,2015,thousand metric tons
Fiji,250,2015,thousand metric tons
Ghana,1314,2015,thousand metric tons
Greece,1832,2015,thousand metric tons
Guinea,16303,2015,thousand metric tons
Guyana,1500,2015,thousand metric tons
Hungary,8,2015,thousand metric tons
India,27757,2015,thousand metric tons
Indonesia,472,2015,thousand metric tons
Iran,520,2015,thousand metric tons
Jamaica,9629,2015,thousand metric tons
Kazakhstan,4683,2015,thousand metric tons
Malaysia,35000,2015,thousand metric tons
Mexico,NA,2015,thousand metric tons
Montenegro,50,2015,thousand metric tons
Mozambique,5,2015,thousand metric tons
Pakistan,31,2015,thousand metric tons
Russian Federation,5900,2015,thousand metric tons
Saudi Arabia,1600,2015,thousand metric tons
Sierra Leone,1334,2015,thousand metric tons
Solomon Islands,270,2015,thousand metric tons
Suriname,1600,2015,thousand metric tons
United Republic of Tanzania,26,2015,thousand metric tons
Turkey,1340,2015,thousand metric tons
USA,NA,2015,thousand metric tons
Venezuela,992,2015,thousand metric tons
Viet Nam,1150,2015,thousand metric tons
Australia,78632,2014,thousand metric tons
Bosnia Herzegovina,605,2014,thousand metric tons
Brazil,36308,2014,thousand metric tons
China,59200,2014,thousand metric tons
Dominican Republic,1446,2014,thousand metric tons
Fiji,640,2014,thousand metric tons
Ghana,798,2014,thousand metric tons
Greece,1873,2014,thousand metric tons
Guinea,17257,2014,thousand metric tons
Guyana,1602,2014,thousand metric tons
Hungary,14,2014,thousand metric tons
India,22636,2014,thousand metric tons
Indonesia,2555,2014,thousand metric tons
Iran,540,2014,thousand metric tons
Jamaica,9677,2014,thousand metric tons
Kazakhstan,4516,2014,thousand metric tons
Malaysia,3665,2014,thousand metric tons
Mexico,NA,2014,thousand metric tons
Montenegro,155,2014,thousand metric tons
Mozambique,3,2014,thousand metric tons
